given,similar,jaccard
1679576722,1396748505,0.166666667
1679576722,1235132457,0.166666667
1679576722,1255334488,0.428571429
1679576722,1801899935,0.428571429
1679576722,1639172760,0.428571429
1679576722,1013910280,0.333333333
1679576722,1033112206,0.428571429
1679576722,1891798062,0.428571429
1679576722,1265435432,0.428571429
1679576722,1689677866,0.428571429
1679576722,1871596882,0.428571429
1679576722,1891798070,0.428571429
1679576722,1295738482,0.428571429
1679576722,1477556660,0.428571429
1679576722,1235132465,0.428571429
1679576722,1710980750,0.428571429
1679576722,1801899844,0.428571429
1679576722,1245233261,0.428571429
1679576722,1437152451,0.428571429
1679576722,1174526198,0.333333333
1679576722,1740283761,0.428571429
1679576722,1487657409,0.428571429
1679576722,1356344386,0.428571429
1679576722,1588667513,0.428571429
1679576722,1053314096,0.428571429
1679576722,1588667521,0.428571429
1679576722,1306849344,0.428571429
1679576722,1093718041,0.428571429
1679576722,1417950569,0.428571429
1679576722,1700889730,0.428571429
1679576722,1295738227,0.428571429
1679576722,1477556405,0.333333333
1679576722,1417950460,0.428571429
1679576722,1578566527,0.428571429
1679576722,1205839354,0.428571429
1679576722,1679576722,0
1588667638,1861495079,0.285714286
1588667638,1225031438,0
1588667638,1598768707,0.285714286
1588667638,1871596098,0.285714286
1588667638,1326041542,0.285714286
1588667638,1417950635,0.375
1588667638,1053314286,0.428571429
1588667638,1073516209,0.375
1588667638,1164425393,0.285714286
1588667638,1255334488,0.285714286
1588667638,1437152667,0.285714286
1588667638,1366445595,0.428571429
1588667638,1558364786,0.285714286
1588667638,1013910249,0.285714286
1588667638,1588667596,0.375
1588667638,1497758510,0.375
1588667638,1942203062,0.285714286
1588667638,1689677718,0.285714286
1588667638,1275536302,0.285714286
1588667638,1659374890,0.285714286
1588667638,1386647535,0.285714286
1588667638,1649273897,0.285714286
1588667638,1407859671,0.285714286
1588667638,1437152600,0.285714286
1588667638,1992708168,0.285714286
1588667638,1447253612,0.375
1588667638,1538162706,0.375
1588667638,1306849583,0
1588667638,1972506970,0.428571429
