given, similar, jaccard
1801899851,1669475679,0.0
1801899851,1124021134,0.0
1801899851,1295738219,0.0
1801899851,1740283753,0.0
1801899851,1326041500,0.16666666666666666
1801899851,1336142348,0.0
1801899851,1184627101,0.1428571428571429
1801899851,1396748315,0.0
1801899851,1760485718,0.0
1801899851,1801899851,0.0
1063415016,1972506996,0.25
1063415016,1487657409,0.1428571428571429
1063415016,1588667521,0.1428571428571429
1063415016,1063415016,0.0
1063415016,1437152469,0.25
1063415016,1295738227,0.1428571428571429
1063415016,1578566527,0.1428571428571429
1063415016,1831192848,0.25
1063415016,1033112040,0.25
1063415016,1699778613,0.25
1760485718,1669475679,0.0
1760485718,1124021134,0.0
1760485718,1295738219,0.0
1760485718,1740283753,0.0
1760485718,1326041500,0.16666666666666666
1760485718,1336142348,0.0
1760485718,1184627101,0.1428571428571429
1760485718,1396748315,0.0
1760485718,1760485718,0.0
1760485718,1801899851,0.0
1699778613,1831192848,0.0
1699778613,1033112040,0.0
1699778613,1881697803,0.25
1699778613,1699778613,0.0
1699778613,1972506996,0.25
1699778613,1487657409,0.1428571428571429
1699778613,1588667521,0.1428571428571429
1699778613,1063415016,0.25
1699778613,1295738227,0.1428571428571429
1699778613,1578566527,0.1428571428571429
1396748315,1669475679,0.0
1396748315,1124021134,0.0
1396748315,1295738219,0.0
1396748315,1740283753,0.0
1396748315,1326041500,0.16666666666666666
1396748315,1336142348,0.0
1396748315,1184627101,0.1428571428571429
1396748315,1396748315,0.0
1396748315,1760485718,0.0
1396748315,1801899851,0.0
1184627101,1427051648,0.25
1184627101,1669475679,0.1428571428571429
1184627101,1124021134,0.1428571428571429
1184627101,1295738219,0.1428571428571429
1184627101,1740283753,0.1428571428571429
1184627101,1336142348,0.1428571428571429
1184627101,1184627101,0.0
1184627101,1396748315,0.1428571428571429
1184627101,1760485718,0.1428571428571429
1184627101,1801899851,0.1428571428571429
1336142348,1669475679,0.0
1336142348,1124021134,0.0
1336142348,1295738219,0.0
1336142348,1740283753,0.0
1336142348,1326041500,0.16666666666666666
1336142348,1336142348,0.0
1336142348,1184627101,0.1428571428571429
1336142348,1396748315,0.0
1336142348,1760485718,0.0
1336142348,1801899851,0.0
1326041500,1871596098,0.16666666666666666
1326041500,1164425393,0.16666666666666666
1326041500,1710980941,0.16666666666666666
1326041500,1669475679,0.16666666666666666
1326041500,1124021134,0.16666666666666666
1326041500,1841293966,0.16666666666666666
1326041500,1013910033,0.16666666666666666
1326041500,1295738219,0.16666666666666666
1326041500,1942203062,0.16666666666666666
1326041500,1184627218,0.16666666666666666
1326041500,1316940588,0.16666666666666666
1326041500,1992708168,0.16666666666666666
1326041500,1740283753,0.16666666666666666
1326041500,1326041500,0.0
1326041500,1245233428,0.16666666666666666
1326041500,1518960798,0.16666666666666666
1326041500,1326041526,0.16666666666666666
1326041500,1700889748,0.16666666666666666
1326041500,1629071667,0.16666666666666666
1326041500,1336142348,0.16666666666666666
1326041500,1396748315,0.16666666666666666
1326041500,1326041344,0.16666666666666666
1326041500,1851394886,0.16666666666666666
1326041500,1760485718,0.16666666666666666
1326041500,1801899851,0.16666666666666666
1326041500,1629071675,0.16666666666666666
1326041500,1407859556,0.16666666666666666
1326041500,1598768640,0.16666666666666666
1326041500,1750384707,0.16666666666666666
1326041500,1316940521,0.16666666666666666
1326041500,1992708184,0.16666666666666666
1326041500,1235132440,0.16666666666666666
1326041500,1053314005,0.16666666666666666
1740283753,1669475679,0.0
1740283753,1124021134,0.0
1740283753,1295738219,0.0
1740283753,1740283753,0.0
1740283753,1326041500,0.16666666666666666
1740283753,1336142348,0.0
1740283753,1184627101,0.1428571428571429
1740283753,1396748315,0.0
1740283753,1760485718,0.0
1740283753,1801899851,0.0
1295738219,1669475679,0.0
1295738219,1124021134,0.0
1295738219,1295738219,0.0
1295738219,1740283753,0.0
1295738219,1326041500,0.16666666666666666
1295738219,1336142348,0.0
1295738219,1184627101,0.1428571428571429
1295738219,1396748315,0.0
1295738219,1760485718,0.0
1295738219,1801899851,0.0
1124021134,1669475679,0.0
1124021134,1124021134,0.0
1124021134,1295738219,0.0
1124021134,1740283753,0.0
1124021134,1326041500,0.16666666666666666
1124021134,1336142348,0.0
1124021134,1184627101,0.1428571428571429
1124021134,1396748315,0.0
1124021134,1760485718,0.0
1124021134,1801899851,0.0
1033112040,1831192848,0.0
1033112040,1033112040,0.0
1033112040,1881697803,0.25
1033112040,1699778613,0.0
1033112040,1972506996,0.25
1033112040,1487657409,0.1428571428571429
1033112040,1588667521,0.1428571428571429
1033112040,1063415016,0.25
1033112040,1295738227,0.1428571428571429
1033112040,1578566527,0.1428571428571429
1669475679,1669475679,0.0
1669475679,1124021134,0.0
1669475679,1295738219,0.0
1669475679,1740283753,0.0
1669475679,1326041500,0.16666666666666666
1669475679,1336142348,0.0
1669475679,1184627101,0.1428571428571429
1669475679,1396748315,0.0
1669475679,1760485718,0.0
1669475679,1801899851,0.0
1831192848,1831192848,0.0
1831192848,1033112040,0.0
1831192848,1881697803,0.25
1831192848,1699778613,0.0
1831192848,1972506996,0.25
1831192848,1487657409,0.1428571428571429
1831192848,1588667521,0.1428571428571429
1831192848,1063415016,0.25
1831192848,1295738227,0.1428571428571429
1831192848,1578566527,0.1428571428571429
